instantTicketingRequired,nonHomogeneous,oneWay,numberOfBookableSeats,total,base,fareOption,travelerType,cabin,fareBasis,brandedFare,class,carrierCode,number,numberOfStops,departureIataCode,aircraftCode,bagageQuantity,arrivalIataCode,ltd_year,ltd_month,ltd_day,departure_year,departure_month,departure_day,departure_hour,departure_minute,arrival_year,arrival_month,arrival_day,arrival_hour,arrival_minute
0,0,0,9,21,11,0,0,0,5,6,4,4,34,0,0,4,0.0,4,0,0,7,0,0,0,2,0,0,0,0,2,3
0,0,0,9,21,11,0,0,0,5,6,4,4,33,0,0,4,0.0,4,0,0,7,0,0,0,4,10,0,0,0,5,1
0,0,0,9,22,9,0,0,0,0,5,0,1,15,0,0,1,0.0,4,0,1,1,0,0,0,4,5,0,0,0,4,6
0,0,0,9,22,9,0,0,0,0,5,0,1,0,0,0,0,0.0,4,0,1,1,0,0,0,2,0,0,0,0,2,2
0,0,0,9,22,9,0,0,0,0,5,0,1,7,0,0,0,0.0,4,0,1,1,0,0,0,12,1,0,0,0,11,3
0,0,0,9,22,9,0,0,0,0,5,0,1,16,0,0,0,0.0,4,0,1,1,0,0,0,15,11,0,0,0,15,1
0,0,0,9,23,10,0,0,0,13,5,8,1,18,0,0,0,0.0,4,0,1,4,0,0,0,10,4,0,0,0,9,5
0,0,0,9,23,10,0,0,0,13,5,8,1,17,0,0,1,0.0,4,0,1,4,0,0,0,8,3,0,0,0,8,5
0,0,0,9,0,8,0,0,0,6,1,4,3,30,0,0,6,0.0,1,0,2,0,0,0,0,13,3,0,0,0,12,4
0,0,0,9,0,8,0,0,0,6,1,4,3,31,0,0,6,0.0,1,0,2,0,0,0,0,8,4,0,0,0,8,5
0,0,0,9,0,8,0,0,0,6,1,4,3,28,0,0,6,0.0,1,0,2,0,0,0,0,1,2,0,0,0,1,2
0,0,0,9,0,8,0,0,0,6,1,4,3,30,0,0,6,0.0,1,0,2,0,0,0,0,13,3,0,0,0,12,4
0,0,0,9,0,8,0,0,0,6,1,4,3,28,0,0,6,0.0,1,0,2,0,0,0,0,1,2,0,0,0,1,2
0,0,0,9,0,8,0,0,0,6,1,4,3,31,0,0,6,0.0,1,0,2,0,0,0,0,8,4,0,0,0,8,5
0,0,0,9,1,12,0,0,0,12,5,8,5,21,0,0,2,0.0,0,0,2,3,0,0,0,6,9,0,0,0,6,1
0,0,0,9,1,12,0,0,0,12,5,8,5,20,0,0,2,0.0,0,0,2,3,0,0,0,3,1,0,0,0,2,6
0,0,0,9,1,12,0,0,0,12,5,8,5,19,0,0,2,0.0,0,0,2,3,0,0,0,2,2,0,0,0,1,7
0,0,0,6,1,12,0,0,0,12,5,8,5,20,0,0,2,0.0,0,0,2,3,0,0,0,3,1,0,0,0,2,6
0,0,0,6,1,12,0,0,0,12,5,8,5,19,0,0,2,0.0,0,0,2,3,0,0,0,2,2,0,0,0,1,7
0,0,0,9,2,12,0,0,0,12,5,8,5,12,0,0,7,0.0,0,0,2,3,0,0,0,9,6,0,0,0,8,10
0,0,0,9,2,12,0,0,0,12,5,8,5,10,0,0,7,0.0,0,0,2,3,0,0,0,4,6,0,0,0,3,11
0,0,0,6,2,12,0,0,0,12,5,8,5,10,0,0,7,0.0,0,0,2,3,0,0,0,4,6,0,0,0,3,11
0,0,0,3,2,12,0,0,0,12,5,8,5,11,0,0,7,0.0,0,0,2,3,0,0,0,5,4,0,0,0,4,9
0,0,0,4,2,12,0,0,0,12,5,8,5,9,0,0,7,0.0,0,0,2,3,0,0,0,4,1,0,0,0,3,6
0,0,0,9,3,13,0,0,0,11,5,7,5,22,0,0,2,0.0,0,0,2,3,0,0,0,7,8,0,0,0,7,0
0,0,0,2,4,11,0,0,0,4,1,3,3,29,0,0,6,0.0,1,0,2,2,0,0,0,6,8,0,0,0,6,9
0,0,0,2,4,11,0,0,0,4,1,3,3,29,0,0,6,0.0,1,0,2,2,0,0,0,6,8,0,0,0,6,9
0,0,0,9,5,14,0,0,0,11,5,7,5,19,0,0,2,0.0,0,0,2,5,0,0,0,2,2,0,0,0,1,7
0,0,0,9,5,14,0,0,0,11,5,7,5,23,0,0,2,0.0,0,0,2,5,0,0,0,13,3,0,0,0,11,7
0,0,0,6,5,14,0,0,0,11,5,7,5,23,0,0,2,0.0,0,0,2,5,0,0,0,13,3,0,0,0,11,7
0,0,0,6,5,14,0,0,0,11,5,7,5,22,0,0,2,0.0,0,0,2,5,0,0,0,7,8,0,0,0,7,0
0,0,0,6,5,14,0,0,0,11,5,7,5,21,0,0,2,0.0,0,0,2,5,0,0,0,6,9,0,0,0,6,1
0,0,0,9,6,14,0,0,0,11,5,7,5,11,0,0,7,0.0,0,0,2,5,0,0,0,5,4,0,0,0,4,9
0,0,0,9,6,14,0,0,0,11,5,7,5,9,0,0,7,0.0,0,0,2,5,0,0,0,4,1,0,0,0,3,6
0,0,0,9,6,14,0,0,0,11,5,7,5,14,0,0,7,0.0,0,0,2,5,0,0,0,15,7,0,0,0,13,10
0,0,0,9,6,14,0,0,0,11,5,7,5,13,0,0,8,0.0,0,0,2,5,0,0,0,13,8,0,0,0,12,0
0,0,0,9,6,14,0,0,0,11,5,7,5,12,0,0,7,0.0,0,0,2,5,0,0,0,9,6,0,0,0,8,10
0,0,0,6,6,14,0,0,0,11,5,7,5,14,0,0,7,0.0,0,0,2,5,0,0,0,15,7,0,0,0,13,10
0,0,0,6,6,14,0,0,0,11,5,7,5,13,0,0,8,0.0,0,0,2,5,0,0,0,13,8,0,0,0,12,0
0,0,0,6,6,14,0,0,0,11,5,7,5,12,0,0,7,0.0,0,0,2,5,0,0,0,9,6,0,0,0,8,10
0,0,0,8,7,16,0,0,0,9,5,6,5,23,0,0,2,0.0,0,0,2,0,0,0,0,13,3,0,0,0,11,7
0,0,0,8,8,16,0,0,0,9,5,6,5,14,0,0,7,0.0,0,0,2,0,0,0,0,15,7,0,0,0,13,10
0,0,0,8,8,16,0,0,0,9,5,6,5,13,0,0,8,0.0,0,0,2,0,0,0,0,13,8,0,0,0,12,0
0,0,0,9,9,15,0,0,0,7,2,4,7,32,0,0,7,0.0,7,0,0,7,0,0,0,14,9,0,0,0,14,0
0,0,0,9,10,8,0,0,0,14,3,9,0,8,0,0,1,1.0,4,0,2,6,0,0,0,7,7,0,0,0,7,8
0,0,0,9,10,8,0,0,0,14,3,9,0,35,0,0,3,1.0,4,0,2,6,0,0,0,11,9,0,0,0,11,0
0,0,0,9,11,1,0,0,0,2,0,2,8,42,0,0,2,1.0,8,0,0,7,0,0,0,4,10,0,0,0,4,3
0,0,0,9,11,1,0,0,0,2,0,2,8,43,0,0,0,1.0,8,0,0,7,0,0,0,15,7,0,0,0,13,9
0,0,0,9,12,0,0,0,0,2,0,2,6,5,0,0,4,1.0,2,0,0,7,0,0,0,14,7,0,0,0,12,10
0,0,0,9,12,0,0,0,0,2,0,2,6,4,0,0,1,1.0,2,0,0,7,0,0,0,13,6,0,0,0,11,9
0,0,0,9,12,0,0,0,0,2,0,2,6,4,0,0,1,1.0,2,0,0,7,0,0,0,13,6,0,0,0,11,9
0,0,0,9,12,0,0,0,0,2,0,2,6,3,0,0,3,1.0,2,0,0,7,0,0,0,9,5,0,0,0,8,8
0,0,0,9,12,0,0,0,0,2,0,2,6,4,0,0,1,1.0,2,0,0,7,0,0,0,13,6,0,0,0,11,9
0,0,0,9,12,0,0,0,0,2,0,2,6,2,0,0,3,1.0,2,0,0,7,0,0,0,6,3,0,0,0,5,6
0,0,0,9,12,0,0,0,0,2,0,2,6,3,0,0,3,1.0,2,0,0,7,0,0,0,9,5,0,0,0,8,8
0,0,0,9,12,0,0,0,0,2,0,2,6,3,0,0,3,1.0,2,0,0,7,0,0,0,9,5,0,0,0,8,8
0,0,0,9,12,0,0,0,0,2,0,2,6,3,0,0,3,1.0,2,0,0,7,0,0,0,9,5,0,0,0,8,8
0,0,0,9,12,0,0,0,0,2,0,2,6,1,0,0,4,1.0,2,0,0,7,0,0,0,3,9,0,0,0,3,0
0,0,0,9,12,0,0,0,0,2,0,2,6,6,0,0,3,1.0,2,0,0,7,0,0,0,2,9,0,0,0,2,0
0,0,0,9,12,0,0,0,0,2,0,2,6,2,0,0,3,1.0,2,0,0,7,0,0,0,6,3,0,0,0,5,6
0,0,0,9,12,0,0,0,0,2,0,2,6,2,0,0,3,1.0,2,0,0,7,0,0,0,6,3,0,0,0,5,6
0,0,0,9,12,0,0,0,0,2,0,2,6,2,0,0,3,1.0,2,0,0,7,0,0,0,6,3,0,0,0,5,6
0,0,0,9,12,0,0,0,0,2,0,2,6,1,0,0,4,1.0,2,0,0,7,0,0,0,3,9,0,0,0,3,0
0,0,0,9,12,0,0,0,0,2,0,2,6,1,0,0,4,1.0,2,0,0,7,0,0,0,3,9,0,0,0,3,0
0,0,0,9,12,0,0,0,0,2,0,2,6,6,0,0,3,1.0,2,0,0,7,0,0,0,2,9,0,0,0,2,0
0,0,0,9,12,0,0,0,0,2,0,2,6,6,0,0,3,1.0,2,0,0,7,0,0,0,2,9,0,0,0,2,0
0,0,0,9,15,3,0,0,0,3,0,3,8,44,0,0,0,1.0,8,0,0,7,0,0,0,2,5,0,0,0,1,9
0,0,0,9,16,0,0,0,0,2,0,2,6,1,0,0,4,1.0,2,0,0,7,0,0,0,3,9,0,0,0,3,0
0,0,0,9,16,0,0,0,0,2,0,2,6,6,0,0,3,1.0,2,0,0,7,0,0,0,2,9,0,0,0,2,0
0,0,0,9,16,0,0,0,0,2,0,2,6,26,0,0,4,1.0,6,0,0,7,0,0,0,13,1,0,0,0,11,6
0,0,0,9,16,0,0,0,0,2,0,2,6,38,0,0,5,1.0,6,0,0,7,0,0,0,11,11,0,0,0,10,5
0,0,0,9,16,0,0,0,0,2,0,2,6,37,0,0,5,1.0,6,0,0,7,0,0,0,8,5,0,0,0,7,11
0,0,0,9,17,2,0,0,0,3,0,3,6,1,0,0,4,1.0,2,0,0,7,0,0,0,3,9,0,0,0,3,0
0,0,0,9,17,2,0,0,0,3,0,3,6,6,0,0,3,1.0,2,0,0,7,0,0,0,2,9,0,0,0,2,0
0,0,0,9,18,4,0,0,0,8,0,5,6,27,0,0,4,1.0,6,0,0,8,0,0,0,1,2,0,0,0,0,7
0,0,0,9,18,4,0,0,0,8,0,5,6,26,0,0,4,1.0,6,0,0,8,0,0,0,13,1,0,0,0,11,6
0,0,0,9,18,4,0,0,0,8,0,5,6,39,0,0,5,1.0,6,0,0,8,0,0,0,0,8,0,0,0,0,3
0,0,0,9,18,4,0,0,0,8,0,5,6,38,0,0,5,1.0,6,0,0,8,0,0,0,11,11,0,0,0,10,5
0,0,0,9,18,4,0,0,0,8,0,5,6,37,0,0,5,1.0,6,0,0,8,0,0,0,8,5,0,0,0,7,11
0,0,0,9,18,4,0,0,0,8,0,5,6,25,0,0,4,1.0,6,0,0,8,0,0,0,6,4,0,0,0,5,9
0,0,0,9,18,4,0,0,0,8,0,5,6,24,0,0,2,1.0,6,0,0,8,0,0,0,4,2,0,0,0,3,7
0,0,0,9,18,4,0,0,0,8,0,5,6,36,0,0,5,1.0,6,0,0,8,0,0,0,3,0,0,0,0,2,6
0,0,0,9,19,4,0,0,0,8,0,5,6,27,0,0,4,1.0,6,0,0,8,0,0,0,1,2,0,0,0,0,7
0,0,0,9,19,4,0,0,0,8,0,5,6,39,0,0,5,1.0,6,0,0,8,0,0,0,0,8,0,0,0,0,3
0,0,0,9,20,7,0,0,0,10,0,7,6,6,0,0,3,1.0,2,0,0,8,0,0,0,2,9,0,0,0,2,0
0,0,0,7,13,5,0,0,0,1,4,1,2,40,0,0,10,2.0,5,0,0,8,0,0,0,5,8,0,0,0,8,0
0,0,0,1,14,6,0,0,0,1,4,1,2,41,0,0,9,2.0,3,0,0,8,0,0,0,4,6,0,0,0,5,1
0,0,0,8,23,14,0,0,0,0,6,0,4,22,0,0,5,0.0,2,0,0,3,0,0,0,14,4,0,0,0,14,4
0,0,0,1,23,14,0,0,0,0,6,0,4,21,0,0,5,0.0,2,0,0,3,0,0,0,2,0,0,0,0,1,1
0,0,0,9,0,16,0,0,0,8,1,6,3,28,0,0,6,0.0,4,0,3,2,0,0,0,11,0,0,0,0,11,5
0,0,0,9,0,16,0,0,0,8,1,6,3,27,0,0,6,0.0,4,0,3,2,0,0,0,5,7,0,0,0,5,1
0,0,0,9,0,16,0,0,0,8,1,6,3,26,0,0,6,0.0,4,0,3,2,0,0,0,0,10,0,0,0,0,3
0,0,0,9,0,16,0,0,0,8,1,6,3,26,0,0,6,0.0,4,0,3,2,0,0,0,0,10,0,0,0,0,3
0,0,0,9,0,16,0,0,0,8,1,6,3,27,0,0,6,0.0,4,0,3,2,0,0,0,5,7,0,0,0,5,1
0,0,0,9,0,16,0,0,0,8,1,6,3,28,0,0,6,0.0,4,0,3,2,0,0,0,11,0,0,0,0,11,5
0,0,0,9,0,16,0,0,0,8,1,6,3,26,0,0,6,0.0,4,0,3,2,0,0,0,0,10,0,0,0,0,3
0,0,0,9,1,17,0,0,0,2,5,2,5,10,0,0,8,0.0,0,0,1,5,0,0,0,1,0,0,0,0,0,7
0,0,0,9,1,17,0,0,0,2,5,2,5,11,0,0,8,0.0,0,0,1,5,0,0,0,5,0,0,0,0,4,6
0,0,0,9,1,17,0,0,0,2,5,2,5,10,0,0,8,0.0,0,0,1,5,0,0,0,1,0,0,0,0,0,7
0,0,0,9,1,17,0,0,0,2,5,2,5,10,0,0,8,0.0,0,0,1,5,0,0,0,1,0,0,0,0,0,7
0,0,0,9,1,17,0,0,0,2,5,2,5,10,0,0,8,0.0,0,0,1,5,0,0,0,1,0,0,0,0,0,7
0,0,0,9,1,17,0,0,0,2,5,2,5,10,0,0,8,0.0,0,0,1,5,0,0,0,1,0,0,0,0,0,7
0,0,0,1,2,0,0,0,0,7,5,5,1,8,0,0,1,0.0,2,0,3,4,0,0,0,1,8,0,0,0,1,0
0,0,0,9,3,19,0,0,0,16,5,13,5,12,0,0,8,0.0,0,0,2,1,0,0,0,7,0,0,0,0,6,7
0,0,0,9,3,19,0,0,0,16,5,13,5,10,0,0,8,0.0,0,0,2,1,0,0,0,1,0,0,0,0,0,7
0,0,0,6,3,19,0,0,0,16,5,13,5,11,0,0,8,0.0,0,0,2,1,0,0,0,5,0,0,0,0,4,6
0,0,0,9,4,21,0,0,0,5,5,4,7,17,0,0,0,0.0,8,0,0,3,0,0,0,12,9,0,0,0,13,0
0,0,0,9,4,21,0,0,0,5,5,4,7,17,0,0,0,0.0,8,0,0,3,0,0,0,12,9,0,0,0,13,0
0,0,0,7,4,21,0,0,0,5,5,4,7,17,0,0,0,0.0,8,0,0,3,0,0,0,12,9,0,0,0,13,0
0,0,0,9,5,15,0,0,0,17,3,14,0,6,0,0,11,1.0,2,0,3,4,0,0,0,8,6,0,0,0,8,7
0,0,0,9,6,20,0,0,0,5,5,4,6,2,0,0,4,0.0,5,0,0,3,0,0,0,7,6,0,0,0,7,1
0,0,0,9,6,20,0,0,0,5,5,4,6,5,0,0,5,0.0,5,0,0,3,0,0,0,3,2,0,0,0,2,8
0,0,0,9,6,20,0,0,0,5,5,4,6,3,0,0,4,0.0,5,0,0,3,0,0,0,9,11,0,0,0,10,5
0,0,0,9,6,20,0,0,0,5,5,4,6,2,0,0,4,0.0,5,0,0,3,0,0,0,7,6,0,0,0,7,1
0,0,0,9,6,20,0,0,0,5,5,4,6,2,0,0,4,0.0,5,0,0,3,0,0,0,7,6,0,0,0,7,1
0,0,0,9,6,20,0,0,0,5,5,4,6,4,0,0,4,0.0,5,0,0,3,0,0,0,1,2,0,0,0,0,8
0,0,0,9,6,20,0,0,0,5,5,4,6,2,0,0,4,0.0,5,0,0,3,0,0,0,7,6,0,0,0,7,1
0,0,0,9,6,20,0,0,0,5,5,4,6,2,0,0,4,0.0,5,0,0,3,0,0,0,7,6,0,0,0,7,1
0,0,0,9,6,20,0,0,0,5,5,4,6,2,0,0,4,0.0,5,0,0,3,0,0,0,7,6,0,0,0,7,1
0,0,0,9,6,20,0,0,0,5,5,4,6,5,0,0,5,0.0,5,0,0,3,0,0,0,3,2,0,0,0,2,8
0,0,0,9,6,20,0,0,0,5,5,4,6,2,0,0,4,0.0,5,0,0,3,0,0,0,7,6,0,0,0,7,1
0,0,0,9,6,20,0,0,0,5,5,4,6,5,0,0,5,0.0,5,0,0,3,0,0,0,3,2,0,0,0,2,8
0,0,0,9,6,20,0,0,0,5,5,4,6,4,0,0,4,0.0,5,0,0,3,0,0,0,1,2,0,0,0,0,8
0,0,0,9,6,20,0,0,0,5,5,4,6,5,0,0,5,0.0,5,0,0,3,0,0,0,3,2,0,0,0,2,8
0,0,0,9,6,20,0,0,0,5,5,4,6,4,0,0,4,0.0,5,0,0,3,0,0,0,1,2,0,0,0,0,8
0,0,0,9,6,20,0,0,0,5,5,4,6,5,0,0,5,0.0,5,0,0,3,0,0,0,3,2,0,0,0,2,8
0,0,0,9,6,20,0,0,0,5,5,4,6,5,0,0,5,0.0,5,0,0,3,0,0,0,3,2,0,0,0,2,8
0,0,0,9,6,20,0,0,0,5,5,4,6,4,0,0,4,0.0,5,0,0,3,0,0,0,1,2,0,0,0,0,8
0,0,0,9,6,20,0,0,0,5,5,4,6,5,0,0,5,0.0,5,0,0,3,0,0,0,3,2,0,0,0,2,8
0,0,0,9,6,20,0,0,0,5,5,4,6,5,0,0,5,0.0,5,0,0,3,0,0,0,3,2,0,0,0,2,8
0,0,0,9,6,20,0,0,0,5,5,4,6,5,0,0,5,0.0,5,0,0,3,0,0,0,3,2,0,0,0,2,8
0,0,0,9,6,20,0,0,0,5,5,4,6,4,0,0,4,0.0,5,0,0,3,0,0,0,1,2,0,0,0,0,8
0,0,0,9,6,20,0,0,0,5,5,4,6,4,0,0,4,0.0,5,0,0,3,0,0,0,1,2,0,0,0,0,8
0,0,0,9,6,20,0,0,0,5,5,4,6,5,0,0,5,0.0,5,0,0,3,0,0,0,3,2,0,0,0,2,8
0,0,0,9,6,20,0,0,0,5,5,4,6,4,0,0,4,0.0,5,0,0,3,0,0,0,1,2,0,0,0,0,8
0,0,0,9,6,20,0,0,0,5,5,4,6,4,0,0,4,0.0,5,0,0,3,0,0,0,1,2,0,0,0,0,8
0,0,0,9,6,20,0,0,0,5,5,4,6,4,0,0,4,0.0,5,0,0,3,0,0,0,1,2,0,0,0,0,8
0,0,0,9,7,1,0,0,0,11,5,9,5,12,0,0,8,0.0,0,0,3,2,0,0,0,7,0,0,0,0,6,7
0,0,0,9,7,1,0,0,0,11,5,9,5,11,0,0,8,0.0,0,0,3,2,0,0,0,5,0,0,0,0,4,6
0,0,0,9,7,1,0,0,0,11,5,9,5,10,0,0,8,0.0,0,0,3,2,0,0,0,1,0,0,0,0,0,7
0,0,0,4,8,3,0,0,0,1,5,1,1,7,0,0,2,0.0,2,0,3,0,0,0,0,6,5,0,0,0,5,6
0,0,0,9,9,18,0,0,0,5,5,4,8,19,0,0,2,0.0,1,0,0,3,0,0,0,10,5,0,0,0,10,8
0,0,0,9,9,18,0,0,0,5,5,4,8,18,0,0,2,0.0,1,0,0,3,0,0,0,6,8,0,0,0,6,0
0,0,0,9,9,18,0,0,0,5,5,4,8,20,0,0,2,0.0,1,0,0,3,0,0,0,1,3,0,0,0,0,6
0,0,0,9,10,20,0,0,0,5,5,4,6,4,0,0,4,0.0,5,0,0,3,0,0,0,1,2,0,0,0,0,8
0,0,0,1,11,5,0,0,0,6,5,4,1,0,0,0,1,0.0,2,0,3,4,0,0,0,4,0,0,0,0,3,2
0,0,0,1,13,2,0,0,0,10,5,8,6,16,0,0,3,0.0,7,0,0,4,0,0,0,2,5,0,0,0,2,0
0,0,0,4,14,9,0,0,0,4,5,3,5,13,0,0,8,0.0,0,0,3,4,0,0,0,9,10,0,0,0,10,6
0,0,0,9,15,4,0,0,0,15,5,12,6,14,0,0,3,0.0,7,0,0,4,0,0,0,6,1,0,0,0,5,7
0,0,0,9,16,4,0,0,0,15,5,12,6,15,0,0,3,0.0,7,0,0,4,0,0,0,11,5,0,0,0,12,0
0,0,0,9,17,7,0,0,0,14,5,11,6,14,0,0,3,0.0,7,0,0,4,0,0,0,6,1,0,0,0,5,7
0,0,0,9,18,11,0,0,0,12,5,10,1,9,0,0,2,0.0,2,0,3,4,0,0,0,9,4,0,0,0,9,5
